Property,X,Y,Z,Value
Permeability,4,13,0,0.35412884
Permeability,4,13,1,0.26730263
Permeability,4,13,2,0.6454303
Permeability,4,14,0,0.46518633
Permeability,4,14,1,0.41067898
Permeability,4,14,2,0.6372909
Permeability,4,15,0,0.82551026
Permeability,4,15,1,0.60976535
Permeability,4,15,2,0.28398713
Permeability,4,16,0,0.6647215
Permeability,4,16,1,0.57317966
Permeability,4,16,2,0.27361217
Permeability,4,17,0,0.20040545
Permeability,4,17,1,0.37469175
Permeability,4,17,2,0.28338292
Permeability,4,18,0,0.2562055
Permeability,4,18,1,0.3831678
Permeability,4,18,2,0.31329942
Permeability,4,19,0,0.14601347
Permeability,4,19,1,0.33635104
Permeability,4,19,2,0.6364853
Permeability,4,20,0,0.18458782
Permeability,4,20,1,0.5004773
Permeability,4,20,2,0.45800787
Permeability,4,21,0,0.3443696
Permeability,4,21,1,0.55032367
Permeability,4,21,2,0.6407895
Permeability,4,22,0,0.3096368
Permeability,4,22,1,0.6115635
Permeability,4,22,2,0.65124786
Permeability,4,23,0,0.5464309
Permeability,4,23,1,0.8904214
Permeability,4,23,2,0.61755085
Permeability,4,24,0,0.6185981
Permeability,4,24,1,0.8731873
Permeability,4,24,2,0.575021
Permeability,4,25,0,0.65663964
Permeability,4,25,1,0.7817289
Permeability,4,25,2,0.53827137
Permeability,4,26,0,0.7157015
Permeability,4,26,1,0.6902676
Permeability,4,26,2,0.5304254
Permeability,4,27,0,0.80817264
Permeability,4,27,1,0.71490455
Permeability,4,27,2,0.52257943
Permeability,4,28,0,0.8734233
Permeability,4,28,1,0.7627599
Permeability,4,28,2,0.4998213
Permeability,4,29,0,0.8025594
Permeability,4,29,1,0.80926025
Permeability,4,29,2,0.46215382
Permeability,4,30,0,0.7316955
Permeability,4,30,1,0.8489877
Permeability,4,30,2,0.42448634
Permeability,4,31,0,0.72539747
Permeability,4,31,1,0.88871235
Permeability,4,31,2,0.24220248
Permeability,4,32,0,0.78366524
Permeability,4,32,1,0.68615615
Permeability,4,32,2,0.33179078
Permeability,4,33,0,0.841933
Permeability,4,33,1,0.72558445
Permeability,4,33,2,0.44109318
Permeability,4,34,0,0.7486792
Permeability,4,34,1,0.7092078
Permeability,4,34,2,0.5358891
Permeability,4,35,0,0.6251206
Permeability,4,35,1,0.69282824
Permeability,4,35,2,0.55814373
Permeability,4,36,0,0.5214286
Permeability,4,36,1,0.69474155
Permeability,4,36,2,0.5803984
Permeability,4,37,0,0.51706684
Permeability,4,37,1,0.7003146
Permeability,4,37,2,0.57391334
Permeability,4,38,0,0.512708
Permeability,4,38,1,0.70478565
Permeability,4,38,2,0.5386857
Permeability,4,39,0,0.5347814
Permeability,4,39,1,0.7037585
Permeability,4,39,2,0.5034609
Permeability,5,0,0,0.5464309
Permeability,5,0,1,0.9069994
Permeability,5,0,2,0.7118461
Permeability,5,1,0,0.32756713
Permeability,5,1,1,0.86845446
Permeability,5,1,2,0.6356308
Permeability,5,2,0,0.87262917
Permeability,5,2,1,0.82162327
Permeability,5,2,2,0.5594154
Permeability,5,3,0,0.5320078
Permeability,5,3,1,0.9825588
Permeability,5,3,2,0.5258508
Permeability,5,4,0,0.5672268
Permeability,5,4,1,1.0
Permeability,5,4,2,0.5349425
Permeability,5,5,0,0.6095668
Permeability,5,5,1,0.97026193
Permeability,5,5,2,0.54403424
Permeability,5,6,0,0.61179656
Permeability,5,6,1,0.26528576
Permeability,5,6,2,0.5852982
Permeability,5,7,0,0.4134813
Permeability,5,7,1,0.8705519
Permeability,5,7,2,0.6329982
Permeability,5,8,0,0.21516603
Permeability,5,8,1,0.70322335
Permeability,5,8,2,0.67323786
Permeability,5,9,0,0.75431556
Permeability,5,9,1,0.53589195
Permeability,5,9,2,0.75519305
Permeability,5,10,0,0.6844702
Permeability,5,10,1,0.4423246
Permeability,5,10,2,0.78478444
Permeability,5,11,0,0.7089575
Permeability,5,11,1,0.4225184
Permeability,5,11,2,0.8160503
Permeability,5,12,0,0.8277746
Permeability,5,12,1,0.40271506
Permeability,5,12,2,0.83423376
Permeability,5,13,0,0.58275187
Permeability,5,13,1,0.2367244
Permeability,5,13,2,0.78700846
Permeability,5,14,0,0.563547
Permeability,5,14,1,0.42642266
Permeability,5,14,2,0.7397831
Permeability,5,15,0,0.6660479
Permeability,5,15,1,0.24560902
Permeability,5,15,2,0.5732976
Permeability,5,16,0,0.49398646
Permeability,5,16,1,0.29492602
Permeability,5,16,2,0.5464309
Permeability,5,17,0,0.22587474
Permeability,5,17,1,0.34424588
Permeability,5,17,2,0.53279907
Permeability,5,18,0,0.27024305
Permeability,5,18,1,0.34438398
Permeability,5,18,2,0.532402
Permeability,5,19,0,0.19713329
Permeability,5,19,1,0.29533744
Permeability,5,19,2,0.9772102
Permeability,5,20,0,0.25637814
Permeability,5,20,1,0.24629377
Permeability,5,20,2,0.97739434
Permeability,5,21,0,0.34696478
Permeability,5,21,1,0.23826656
Permeability,5,21,2,0.68383145
Permeability,5,22,0,0.31411365
Permeability,5,22,1,0.49889487
Permeability,5,22,2,0.69109625
Permeability,5,23,0,0.90073305
Permeability,5,23,1,0.53345215
Permeability,5,23,2,0.6566713
Permeability,5,24,0,0.17967655
Permeability,5,24,1,0.7533546
Permeability,5,24,2,0.6139084
Permeability,5,25,0,0.8577457
Permeability,5,25,1,0.5492908
Permeability,5,25,2,0.58083284
Permeability,5,26,0,0.83729506
Permeability,5,26,1,0.53818214
Permeability,5,26,2,0.5961766
Permeability,5,27,0,0.80128765
Permeability,5,27,1,0.5352302
Permeability,5,27,2,0.54385585
Permeability,5,28,0,0.77867913
Permeability,5,28,1,0.7541947
Permeability,5,28,2,0.6182241
Permeability,5,29,0,0.82307625
Permeability,5,29,1,0.8066679
Permeability,5,29,2,0.61627626
Permeability,5,30,0,0.8674762
Permeability,5,30,1,0.7165963
Permeability,5,30,2,0.61432844
Permeability,5,31,0,0.8905767
Permeability,5,31,1,0.6265246
Permeability,5,31,2,0.40621078
Permeability,5,32,0,0.89237785
Permeability,5,32,1,0.60069084
Permeability,5,32,2,0.45302755
Permeability,5,33,0,0.8941818
Permeability,5,33,1,0.4951431
Permeability,5,33,2,0.4870468
Permeability,5,34,0,0.7764379
Permeability,5,34,1,0.54519373
Permeability,5,34,2,0.5197915
Permeability,5,35,0,0.634782
Permeability,5,35,1,0.5146587
Permeability,5,35,2,0.54618347
Permeability,5,36,0,0.5283251
Permeability,5,36,1,0.40579647
Permeability,5,36,2,0.5725783
Permeability,5,37,0,0.59785974
Permeability,5,37,1,0.7523303
Permeability,5,37,2,0.5786606
