Model_ID,X,Y,Z,Permeability,Source_Q,Source_Qw,Porosity,Time_Index,Pini,Sini
0,0,35,2,0.3406351,0.0,0.0,0.17031755,0.016666668,1.0,0.2
0,0,36,0,0.42029437,0.0,0.0,0.21014719,0.016666668,1.0,0.2
0,0,36,1,0.42597094,0.0,0.0,0.21298547,0.016666668,1.0,0.2
0,0,36,2,0.27827314,0.0,0.0,0.13913657,0.016666668,1.0,0.2
0,0,37,0,0.46322986,0.0,0.0,0.23161493,0.016666668,1.0,0.2
0,0,37,1,0.53471524,0.0,0.0,0.26735762,0.016666668,1.0,0.2
0,0,37,2,0.27685183,0.0,0.0,0.13842592,0.016666668,1.0,0.2
0,0,38,0,0.50616825,0.0,0.0,0.25308412,0.016666668,1.0,0.2
0,0,38,1,0.61756235,0.0,0.0,0.30878118,0.016666668,1.0,0.2
0,0,38,2,0.33637404,0.0,0.0,0.16818702,0.016666668,1.0,0.2
0,0,39,0,0.55450416,0.0,0.0,0.27725208,0.016666668,1.0,0.2
0,0,39,1,0.5709211,0.0,0.0,0.28546056,0.016666668,1.0,0.2
0,0,39,2,0.39589626,0.0,0.0,0.19794813,0.016666668,1.0,0.2
0,1,0,0,0.27278933,0.0,0.0,0.13639466,0.016666668,1.0,0.2
0,1,0,1,0.3518847,0.0,0.0,0.17594235,0.016666668,1.0,0.2
0,1,0,2,0.82551026,0.0,0.0,0.41275513,0.016666668,1.0,0.2
0,1,1,0,0.2731835,0.418,0.418,0.13659175,0.016666668,1.0,0.2
0,1,1,1,0.25809866,0.418,0.418,0.12904933,0.016666668,1.0,0.2
0,1,1,2,0.6647215,0.418,0.418,0.33236074,0.016666668,1.0,0.2
0,1,2,0,0.256217,0.0,0.0,0.1281085,0.016666668,1.0,0.2
0,1,2,1,0.27419338,0.0,0.0,0.13709669,0.016666668,1.0,0.2
0,1,2,2,0.5039327,0.0,0.0,0.25196636,0.016666668,1.0,0.2
0,1,3,0,0.23925342,0.0,0.0,0.11962671,0.016666668,1.0,0.2
0,1,3,1,0.33000407,0.0,0.0,0.16500203,0.016666668,1.0,0.2
0,1,3,2,0.37178585,0.0,0.0,0.18589292,0.016666668,1.0,0.2
0,1,4,0,0.2367244,0.0,0.0,0.1183622,0.016666668,1.0,0.2
0,1,4,1,0.38581187,0.0,0.0,0.19290593,0.016666668,1.0,0.2
0,1,4,2,0.26827797,0.0,0.0,0.13413899,0.016666668,1.0,0.2
0,1,5,0,0.23708694,0.0,0.0,0.11854347,0.016666668,1.0,0.2
0,1,5,1,0.37450185,0.0,0.0,0.18725093,0.016666668,1.0,0.2
0,1,5,2,0.16477269,0.0,0.0,0.082386345,0.016666668,1.0,0.2
0,1,6,0,0.24560902,0.0,0.0,0.12280451,0.016666668,1.0,0.2
0,1,6,1,0.34976423,0.0,0.0,0.17488211,0.016666668,1.0,0.2
0,1,6,2,0.3180208,0.0,0.0,0.1590104,0.016666668,1.0,0.2
0,1,7,0,0.29492602,0.0,0.0,0.14746301,0.016666668,1.0,0.2
0,1,7,1,0.32401386,0.0,0.0,0.16200693,0.016666668,1.0,0.2
0,1,7,2,0.52261686,0.0,0.0,0.26130843,0.016666668,1.0,0.2
